Title,Heading,Content,Tokens,Context,Questions,Answers,tokens
Designations,High impact manager A'22,Ritika,,"Designations
High impact Manager A'22

Ritika","1. What is a high impact manager?
2. Who is Ritika?","1. A high impact manager is someone who adminstors the role of organization and makes sure it achieves greater heights.
2. Ritika is a high impact manager.",1.0
Human Resource manager,HRM A'22,"Souimya, Sumedha, Rachana",,"Human Resource manager
HRM A'22

Soumiya","1. What is the name of the HR manager?
2. What is the HR manager's position?","1. The name of the HR manager is Soumiya.
3. The HR manager's position is to manage and navigate through Human Resource work in the organization.",5.0
Architecture & Electrize,Organizers A'22,Priyanshu Rishi,,"Architecture & Electrizite
Organizers A'22

Priyanshu Rishi","1. What is the purpose of the architecture and electrize event?
2. Who is the organizer of the architecture and electrize event?","
1. The purpose of the architecture and electrizite event is to bring together people who are interested in architecture and consortium of EEE, ECE, EIE to share their knowledge and ideas.
2. The organizer of Architecture and Electrizite domain is Priyanshu Rishi.",2.0
Bluebook and Vimanas,Organizers A'22,Haseef,,"Bluebook and Vimanaz
Organizers A'22

Mohamed Amsath Haseef","1. What is the Bluebook?
2. What is Vimanaz?
3. Who is the organizer of Bluebook and Vimanaz domain?","1. Bluebook delves into details of Life Sciences, Forensics, and Biometrics
2. Vimanaz domain brings aviation aspirations to new heights, where excitement meets flight.
3. The organizer of Bluebook and Vimanaz domain is Mohamed Amsath Haseef. ",1.0
Konstruktion & Canoe & Online,Organizers A'22,Viren,,"Konstruktion & Canoe & Online
Organizers A'22

Viren","1. What does the domain ""Konstrucktion and Canoe Challenge"" do?
2. What does the domain ""Online"" do?
3. Who is the organizer of Konstrucktion & Canoe Challenge and Online domain?","1. Konstruktion and Canoe Challenge focuses on Civil and Infrastructure Designing, Fabricating, and Practical Testing.
2. Online domain organises competitions based on development, editing and logo designing.
3. The organizer of Konstrucktion & Canoe Challenge and Online domain is Viren Jagwani",1.0
Xzone esports & presentation,Organizers A'22,Harsh,,"Xzone esports & Prasentatio
Organizers A'22

Harsh","1. What does the domain ""XZone&E-Sports"" do?
2. What does the domain ""Prasentatio"" do?
3. Who is the organizer of Xzone esports & Prasentatio domain?","1. XZone&E-sports focuses on enlivens fantasy by offering games, game development opportunities, event participation, and fantasy brainstorming sessions.
2. Prasentatio domain  unleashes ones inner wordsmith, performer, and storyteller on our dynamic stage of expression.
3. The organizer of Xzone esports & Prasentatio domain is Harsh Bardhan.",1.0
Digital Design & Robogyan,Organizers A'22,Swarnima,,"Digital Design & Robogyan
Organizers A'22

Swarnima","1. What does the domain ""Digital Design"" do?
2. What does the domain ""Robogyan"" do?
3. Who is the organizer of Digital Design and Robogyan domain?","1. Digital Design focuses on  exploring the world of Visual Communication, Graphic Designing, and Modern Art.
2. Robogyan imparts comprehensive knowledge of the design of autonomous and semi-autonomous robotics.
3. The organizer of Robogyan and Digital Design domain is Swarnima Gupta.",1.0
Yuddhame & Machination,Organizers A'22,Sanjukta,,"Yuddhame & Machination
Organizers A'22

Aakanksh Singh","1. What does the domain ""Yuddhame"" do?
2. What does the domain ""Machination"" do?
3. Who is the organizer of Yuddhame and Mahination domain?","1. Yuddhame focuses on offering comprehensive training in competitive programming, web development, data science, cybersecurity, and networking
2. Machination interprets concepts of Mechanical and Automobile Engineering via Blueprints.
3. The organizer of Yuddhame and Machination is Aakanksh Singh. ",1.0
Event Organiser,Organizers A'22,"Magefficie: Dushant, Fundaz: Aditi",,"Event Organiser
Organizers A'22

Magefficie: Dushant, Fundaz: Aditi","1. What does an Event Organizer do?
2. Who are the  Event organizers of Aaruush'22?","1. Event Organizer acts as a bridge between Domain Organizers and the committees and handle the overall management of domain events.
2. The Event Organizers are Aditi Sahu and Dushyant.",7.0
Patrons,Aaruush,"Vice Chancellor - Dr. C Muthamizhchalvan, Dean of Engg & Tech - T V Gopal, Director of Alumni Affairs/ Aaruush/ Team Rudra/ ___ - Dr. A Rathinam, Associate Director Campus Life - Dr. V Thirumurugan, Financial Faculty Coordinator - Velu Murugan, Financial Advisor - VM Ponniah (Retd)",,"Patrons
Aaruush

Vice Chancellor - Dr. C Muthamizhchalvan, Dean of Engg & Tech - T V Gopal, Director of Alumni Affairs/ Aaruush/ Team Rudra - Dr. A Rathinam, Associate Director Campus Life - Dr. V Thirumurugan, Financial Faculty Coordinator - Vela Murugan, Financial Advisor - VM Ponniah (Retd)","1. Who is the Vice Chancellor of the university?
2. Who is the Dean of College of Engineering and Technology?
3. Who is the Director of Alumni Affairs?
4. Who is the Associate Director of Campus Life?
5. Who is the Financial Faculty Coordinator?
6. Who is the Financial Advisor?
7. Who is Dr. A Rathinam?
8. Name the patrons of aaruush?","1. The Vice Chancellor of the university is Dr. C Muthamizhchalvan.
2. The Dean of College of Engineering and Technology is T V Gopal.
3. The Director of Alumni Affairs is Dr. A Rathinam.
4. The Associate Director of Campus Life is Dr. V Thirumurugan.
5. The Financial Faculty Coordinator is Vela Murugan.
6. The Financial Advisor is VM Ponniah (Retd).
7. Dr. A. Rathinam is the Convenor of Team Aaruush
8. Patrons of aaruush are Vice Chancellor - Dr. C Muthamizhchalvan, Dean of Engg & Tech - T V Gopal, Director of Alumni Affairs/ Aaruush/ Team Rudra/ ___ - Dr. A Rathinam, Associate Director Campus Life - Dr. V Thirumurugan, Financial Faculty Coordinator - Velu Murugan, Financial Advisor - VM Ponniah (Retd)",54.0
AARUUSH,Logo,Rising Sun,,"AARUUSH
Logo

Rising Sun","1. What is the significance of the AARUUSH logo?
2. What does the Rising Sun represent?","1. The AARUUSH logo is based on the essence of the rising sun, signifying Aaruush rising in the spirit of innovation.
2. The Rising Sun in the logo represents Aaruush rising in the spirit of innovation.",2.0
TEAM Envision Organizers,A'22  Team envision organizers,"5 organisers: Sahaj, Rishabh, Somya, Fardeen, Dhanya",,"TEAM Envision Organizers
A'22  Team envision organizers

5 organisers: Sahaj, Rishabh, sanjukta, Fardin, Dhanya","1. What is the name of the the technical team of Aaruush?
2. How many organizers are there in the team?
3. What are the names of the organizers?
4. What is the purpose of Team Envision organizers?","1. The name of the technical team of Aaruush is Team Envision.
2. There are five organizers in the team.
3. The names of the organizers are Sahaj, Rishabh, Sanjukta, Fardin, Dhanya.
4. The purpose of Team Envision is to provide solutions to most campus and societal issues",12.0
Convenor Aaruush,Aaruush Convenor,"Dr, A rathinam Sir is the convenor of aaruush",,"Convenor Aaruush
Aaruush Convenor

Dr. A Rathinam Sir ","1. Who is the convenor of aaruush?
2. What is the name of the convenor?
3. What is the doctor's name?","1. The convenor of Team Aaruush is Dr. A Rathinam Sir.
2. The name of the convenor is Dr. A. Rathinam Sir.
3. The doctor's name is Dr. A Rathinam Sir.",10.0
Aaruush Fest,About Aaruush,"As one of the premier fests of the nation, Aaruush has always been a forerunner in providing a platform for the nation's young minds to converge and from this confluence, where a kaleidoscope of ideas is born every year.",,"Aaruush Fest
About Aaruush

As one of the premier fests of the nation, Aaruush has always been a frontrunner in providing a platform for the nation's young minds to converge and from this confluence, where a kaleidoscope of ideas is born every year.","1. What is Aaruush?
2. What is the purpose of Aaruush?
3. What is the history of Aaruush?","1. Aaruush is the student-run national level techno-management fest of SRMIST, Chennai.
2. The purpose of Aaruush is to provide a platform for the nation's young minds to converge and from confluence, where a kaleidoscope of ideas is born every year.
3. Aaruush, since its inception in the year 2007, has been a pioneer for Rising in the spirit of Innovation.",43.0
Aaruush Fest,Footfall till date,"1,00,000+",,"Aaruush Fest
Footfall till date
6,94,500","1. How many people have attended Aaruush Fest till date? 
2. What is the footfall for Aaruush Fest till date?","1. 6,94,500+ people have attended Aaruush Fest till date. 
2. The footfall for Aaruush Fest till date is 6,94,500+.",1.0
Aaruush Fest,Events conducted,100+,,"Aaruush Fest
Events conducted

1000+","1. How many events are conducted as part of Aaruush Fest?
2. What are some of the events conducted as part of Aaruush Fest?
3. How many people attend Aaruush Fest?","1. 1000+ events are conducted as part of Aaruush Fest.
2. Some of the events conducted as part of Aaruush Fest include workshops, luminary addresses, expos and nites.
3. It is estimated that over 6,94,500+ people attend Aaruush till date.",1.0
Aaruush Fest,Social Media Reach,"68,000+",,"Aaruush Fest
Social Media Reach

68,000+","1. How many people are reached through Aaruush Fest's social media?
2. What is the approximate reach of Aaruush Fest's social media?","1. Aaruush Fest's social media reaches 68,000+ people.
2. The approximate reach of Aaruush Fest's social media is 68,000+.",1.0
Aaruush Fest,Social Media Following,"65,000+",,"Aaruush Fest
Social Media Following

65,000+","1. How many people follow Aaruush Fest on social media?
2. What platforms does Aaruush Fest use to communicate with its followers?
3. What type of content does Aaruush Fest share with its followers?","1. Aaruush Fest has over 65,000 followers on social media.
2. Aaruush Fest communicates with its followers on Facebook, Twitter, Instagram, LinkedIn, Youtube
3. Aaruush Fest shares event details, pictures and interactions with its audience.",1.0
Aaruush Fest,International Participants,250+,,"Aaruush Fest
International Participants

250+","1. How many international participants have been there in Aaruush Fest?
2. Who organizes Aaruush Fest?
3. Where is Aaruush Fest held?","1. There have been over 100 international participants in Aaruush Fest.
2. Aaruush Fest is organized by the students of SRM University.
3. Aaruush Fest is held at the SRM University, Chennai.",1.0
Aaruush Fest,Flagship Events,26,,"Aaruush Fest
Flagship Events

26","1. What is Aaruush Fest?
2. What are the flagship events?
3. How many flagship events were there in total?
4. When were the event conducted?
5. Where were the events conducted?
6. Who organizes these event?
","1. Aaruush Fest is an annual event that celebrates the spirit of innovation.
2. The flagship events are the events conducted annualy by a specific commitee/domain/team highlighting the key essence of the said entity.
3. There were over 26 flagship events in total.
4. The event were conducted throughout the edition.
5. The event were conducted in SRMIST, Chennai.
6. The events are organized by the Aaruush.
",1.0
Aaruush '22 International Footfall,Countries,"Algeria, Bangladesh, China, Indonesia, Nepal, Pakistan, Saudi Arabia, Sri Lanka, The Bahamas, United Arab Emirates, United Kingdom, United States",,"Aaruush '22 International Footfall
Countries

UAE, Malaysia, UK, USA, Singapore,Nepal, Bhutan, Japan, China,Spain,Brazil, Urugway, Canada, Mexico","1. How many countries are in Aaruush '22 International Footfall?
2. What are the countries in Aaruush '22 International Footfall?
","1. There are 14 countries in Aaruush '22 International Footfall.
2. The countries in Aaruush '22 International Footfall are UAE, Malaysia, UK, USA, Singapore,Nepal, Bhutan, Japan, China,Spain,Brazil, Urugway, Canada, Mexico.
",30.0
Inaugural Chief Guest A'22,Chief Guest,"Dr. Anil Kakodkar chief guest of Aaruush'22 Former Atomic Energy Commissioner of India and the Secretary to the Government of India b) Former Director of the Bhabha Atomic Research Centre (RARC), Bombay from 1996 to 2000. c) Padma Shri Awardee (1998) d) Padma Bhushan Awardee (1999) e) Padma Vibhushan Awardee (2009)",,"Inaugural Chief Guest A'22
Chief Guest

Dr. Anil Kakodkar chief guest of Aaruush'22 Former Atomic Energy Commissioner of India and the Secretary to the Government of India b) Former Director of the Bhabha Atomic Research Centre (RARC), Bombay from 1996 to 2000. c) Padma Shri Awardee (1998) d) Padma Bhushan Awardee (1999) e) Padma Vibhushan Awardee (2009)","1. What is Dr. Anil Kakodkar's background?
2. What awards has he received?
3. What positions has he held?","1. Dr. Anil Kakodkar is a former Atomic Energy Commissioner of India and the Secretary to the Government of India, Dept. of Atomic Energy.
2. He has received the Padma Shri Award, the Padma Bhushan Award, and the Padma Vibhushan Award.
3. He has held the position of Director of the Bhabha Atomic Research Centre and the Secretary to the Government of India, Dept. of Atomic Energy.",64.0
Valedictory Chief Guest A'22,Chief Guest,"Dr. Thirumalachari Ramasami valedictory chief guest of aaruush'22 and  Recipient of Padma Bhushan and Padma Shri Awards b) Recipient of Shanti Swarup Bhatnagar Award for Chemical Sciences c) Recipient of Coleman Research Prize d) Former Indian Science and Technology Secretary e) Served as the Director of Central Leather Research Institute, Chennai, India",,"Valedictory Chief Guest A'22
Chief Guest

Dr. Thirumalachari Ramasami valedictory chief guest of aaruush'22 and  Recipient of Padma Bhushan and Padma Shri Awards b) Recipient of Shanti Swarup Bhatnagar Award for Chemical Sciences c) Recipient of Coleman Research Prize d) Former Indian Science and Technology Secretary e) Served as the Director of Central Leather Research Institute, Chennai, India","1. What is the name of the person giving the valedictory speech?
2. What are the awards that this person has received?
3. What is this person's profession?
4. What was this person's position in the Indian government?
5. What is this person's current profession?","1. The person giving the valedictory speech is Dr. Thirumalachari Ramasami.
2. The awards that this person has received are the Padma Bhushan, the Padma Shri, and the Shanti Swarup Bhatnagar Award for Chemical Sciences.
3. This person's profession is that of a scientist.
4. This person's position in the Indian government was that of Secretary of Science and Technology.
5. This person's current profession is that of a researcher.",58.0
Luminary Addresses A'22,Guest,"Also called the, “Waterman an of India”, he is a Water conservationist and environmentalist from the Alwar district who won the Magsaysay award in 2001 and the Stockholm water prize in 2015. He runs the ‘Tarun Bharat Sangh’ NGO which seeks to bring dignity and prosperity to the life of a destitute section of the nation through sustainable development measures.",,"Luminary Addresses A'22
Guest

Also called the, “Waterman an of India”, he is a Water conservationist and environmentalist from the Alwar district who won the Magsaysay award in 2001 and the Stockholm water prize in 2015. He runs the ‘Tarun Bharat Sangh’ NGO which seeks to bring dignity and prosperity to the life of a destitute section of the nation through sustainable development measures.","1. Who is the speaker?
2. What is the speaker's background?
3. What is the speaker's organization?
4. What does the speaker's organization do?","1. The speaker is Rajendra Singh.
2. The speaker is a water conservationist and environmentalist from the Alwar district in India.
3. The speaker's organization is the Tarun Bharat Sangh.
4. The Tarun Bharat Sangh seeks to bring dignity and prosperity to the life of a destitute section of the nation through sustainable development measures.",68.0
Luminary Addresses A'22,Guest,"Founder of SNEHA, pioneering suicide prevention organization in India, Prof. Lakshmi is a Consultant psychiatrist based in Chennai. Ma’am is on the World Health Organization’s International Network for Suicide Research and Prevention.",,"Luminary Addresses A'22
Guest

Founder of SNEHA, pioneering suicide prevention organization in India, Prof. Lakshmi is a Consultant psychiatrist based in Chennai. Ma’am is on the World Health Organization’s International Network for Suicide Research and Prevention.","1. What is SNEHA?
2. What is the World Health Organization's International Network for Suicide Research and Prevention?
3. What is a Consultant psychiatrist?
","1. SNEHA is a pioneering suicide prevention organization in India.
2. The World Health Organization's International Network for Suicide Research and Prevention is a network of experts in suicide prevention.
3. A Consultant psychiatrist is a doctor who specializes in psychiatry.
",40.0
Luminary Addresses A'22,Guest,"The Founder of Indian action project and Chaipaani, Ma’am is a TedX Speaker and the recipient of the Karamveer Global Fellowship and Build India Award.",,"Luminary Addresses A'22
Guest

The Founder of Indian action project and Chaipaani, Ma’am is a TedX Speaker and the recipient of the Karamveer Global Fellowship and Build India Award.","1. What is the name of the speaker?
2. What is the name of the organization she founded?
3. What is the name of the award she received?
","1. The speaker is Ms Shruti Chaturvedi.
2. The speaker founded Indian action project and Chaipaani.
3. The speaker received the Karamveer Global Fellowship and Build India Award.",29.0
Luminary Addresses A'22,Guest,"Sir is a TedX Speaker and the Chief Technical Officer at Snapper Future Tech. A Blockchain Influencer, sir is also a Keynote Speaker, Co-lead at Hyperledger India and the Co-chair IEEE Blockchain",,"Luminary Addresses A'22
Guest

Sir is a TedX Speaker and the Chief Technical Officer at Snapper Future Tech. A Blockchain Influencer, sir is also a Keynote Speaker, Co-lead at Hyperledger India and the Co-chair IEEE Blockchain","1. What is a TedX Speaker?
2. What is a Blockchain Influencer?
3. What is a Keynote Speaker?
4. What is Hyperledger India?
5. What is IEEE Blockchain?","1. A TedX Speaker is someone who has given a Ted Talk.
2. A Blockchain Influencer is someone who is influential in the blockchain space.
3. A Keynote Speaker is someone who is invited to give a keynote speech at an event.
4. Hyperledger India is a group that focuses on blockchain technology in India.
5. IEEE Blockchain is a group that focuses on blockchain technology in general.",35.0
Luminary Addresses A'22,Guest,Prof. Dr. H. Paramesh is the Paediatric Pulmonologist and Chairman at the Lakeside Hospital and Education Trust. He is also an active environmentalist,,"Luminary Addresses A'22
Guest

Prof. Dr. H. Paramesh is the Paediatric Pulmonologist and Chairman at the Lakeside Hospital and Education Trust. He is also an active environmentalist","1. What is the name of the speaker?
2. What is the name of the hospital where the speaker works?
3. What is the speaker's profession?
4. What is the speaker's position at the hospital?
5. What is the speaker's other occupation?
6. What is the speaker's position on environmentalism?","1. The speaker is Prof. Dr. H. Paramesh.
2. The speaker works at the Lakeside Hospital and Education Trust.
3. The speaker is a paediatric pulmonologist and chairman at the Lakeside Hospital and Education Trust.
4. The speaker is the chairman at the Lakeside Hospital and Education Trust.
5. The speaker is also an active environmentalist.
6. The speaker is an active environmentalist and believes that it is important for everyone to do their part in preserving the environment.",24.0
Luminary Addresses A'22,Guest,"A mental wellness coach, Tedx speaker, Tech Co-Founder and a Parenting Coach. Sir is the best selling author for - “Oops The Mighty Gurgle”, “From Ouch to Oops” and “Active Parenting.",,"Luminary Addresses A'22
Guest

A mental wellness coach, Tedx speaker, Tech Co-Founder and a Parenting Coach. Sir is the best selling author for - “Oops The Mighty Gurgle”, “From Ouch to Oops” and “Active Parenting.","1. What is Tedx?
2. What is the author's name?
5. What is the author's occupation?
6. What is the author's title?
7. What is the author's main occupation?
8. What is the author's main focus?","1. Tedx is a series of speeches given by various people on various topics.
2. The author's name is Mr Ramg Vallath
5. The author's occupation is a mental wellness coach, Tedx speaker, Tech Co-Founder, and a Parenting Coach.
6. The author's title is ""Sir.""
7. The author's main occupation is a mental wellness coach.
8. The author's main focus is mental wellness.",41.0
Luminary Addresses A'22,Guest,"Founder and CEO of HOLO Siksha and HOLO Abdul, the world's most futuristic and patent-protected 'Holographic Interactive Technology' and 'Virtual 3D Toolbox', sir is the Forbes Great CEO nominee.",,"Luminary Addresses A'22
Guest

Founder and CEO of HOLO Siksha and HOLO Abdul, the world's most futuristic and patent-protected 'Holographic Interactive Technology' and 'Virtual 3D Toolbox', sir is the Forbes Great CEO nominee.","1. What is HOLO Siksha?
2. What is Abdul?
3. What is Forbes Great CEO nominee?
4. What is holographic interactive technology?
5. What is virtual 3D toolbox?","1. HOLO Siksha is a company that creates holographic interactive technology.
2. Abdul is the founder and CEO of HOLO Siksha.
3. Forbes Great CEO nominee is a title given to the founder and CEO of HOLO Siksha.
4. Holographic interactive technology is a technology that allows users to interact with holograms.
5. Virtual 3D toolbox is a tool that allows users to create 3D objects.",35.0
Luminary Addresses A'22,Guest,"The recipient of the Health Excellence Awards, Mr. Chaudhary is an expert in reversing diseases like diabetes, Hypertension, Liver Problems, Cholesterol, Heart Diseases and terminal cases of cancer by diet and lifestyle. The author of the book. “The Burning Solution”, his diet and lifestyle techniques are scientific and based on his experience.",,"Luminary Addresses A'22
Guest

The recipient of the Health Excellence Awards, Mr. Chaudhary is an expert in reversing diseases like diabetes, Hypertension, Liver Problems, Cholesterol, Heart Diseases and terminal cases of cancer by diet and lifestyle. The author of the book. “The Burning Solution”, his diet and lifestyle techniques are scientific and based on his experience.","1. What is the name of the book author?
2. What is the name of the person who received the Health Excellence Awards?
3. What diseases can be reversed by diet and lifestyle techniques according to the author?","1. The book author is Mr. Chaudhary.
2. The person who received the Health Excellence Awards is Mr. Chaudhary.
3. The diseases that can be reversed by diet and lifestyle techniques are diabetes, hypertension, liver problems, cholesterol, heart diseases, and terminal cases of cancer.",63.0
Industrial Conclave,Description,Industrial Conclave is a panel discussion which bridges...,,"Industrial Conclave
Description

Industrial Conclave is a panel discussion which bridges...","1. What is the purpose of the Industrial Conclave?
2. What does the panel discussion bridge?
3. Who is the target audience for the Industrial Conclave?","1. The purpose of the Industrial Conclave is to bridge the gap between the industry and the academia.
2. The panel discussion bridges the gap between the industry and the academia by providing a platform for the two groups to interact and exchange ideas.
3. The target audience for the Industrial Conclave is the industry and the academia.",9.0
Industrial Conclave,Topic,Topic: Industrial Metaverse and Revolutionary Private S...,,"Industrial Conclave
Topic

Topic: Industrial Metaverse and Revolutionary Private S...","1. What is the industrial metaverse?
2. What is the significance of the industrial metaverse?
3. What are the benefits of the industrial metaverse?
4. What are the challenges of the industrial metaverse?","1. The industrial metaverse is a virtual world that enables businesses to interact and collaborate with each other.
2. The significance of the industrial metaverse is that it enables businesses to interact and collaborate with each other in a virtual world.
3. The benefits of the industrial metaverse are that it enables businesses to interact and collaborate with each other in a virtual world, which can lead to increased efficiency and productivity.
4. The challenges of the industrial metaverse are that it requires businesses to invest in virtual reality technology, which may be prohibitive for some businesses.",9.0
Industrial Conclave,Guests,Guests of Industrial Conclave-: Mr. Pranit Mehta Mr. P...,,"Industrial Conclave
Guests

Guests of Industrial Conclave-: Mr. Pranit Mehta Mr. P...","1. Who are the guests of the Industrial Conclave? 
2. What is the Industrial Conclave? 
3. What is Mr. Pranit Mehta's role at the Industrial Conclave? 
4. What is Mr. Prakash's role at the Industrial Conclave?","1. The guests of the Industrial Conclave are Mr. Pranit Mehta and Mr. Prakash. 
2. The Industrial Conclave is a meeting of business leaders and entrepreneurs. 
3. Mr. Pranit Mehta is a business leader and entrepreneur. 
4. Mr. Prakash is a business leader and entrepreneur.",11.0
UnConference,Platform,"UnConference is a platform that aims to connect the institution and the outside world, providing exposure to marketing and business techniques to students.",,"UnConference
Platform

UnConference is a platform that aims to connect the institution and the outside world, providing exposure to marketing and business techniques to students.","1. What is UnConference?
2. What is the platform's purpose?
3. What are the benefits of using UnConference?
4. How does UnConference work?","1. UnConference is a platform that aims to connect the institution and the outside world, providing exposure to marketing and business techniques to students.
2. The platform's purpose is to connect the institution and the outside world, providing exposure to marketing and business techniques to students.
3. The benefits of using UnConference are that it provides exposure to marketing and business techniques to students.
4. How UnConference works is that it provides exposure to marketing and business techniques to students.",25.0
UnConference,Forum,It is a participation-driven forum where eminent guests participate in an interactive session with the audience. A constructive disclosure is held based on the topic of discussion.,,"UnConference
Forum

It is a participation-driven forum where eminent guests participate in an interactive session with the audience. A constructive disclosure is held based on the topic of discussion.","1. What is an UnConference Forum?
2. What is the purpose of an UnConference Forum?
3. What is the format of an UnConference Forum?
4. What are the benefits of an UnConference Forum?","1. An UnConference Forum is a participatory forum where guests participate in an interactive session with the audience.
2. The purpose of an UnConference Forum is to provide a constructive disclosure based on the topic of discussion.
3. The format of an UnConference Forum is interactive and participatory.
4. The benefits of an UnConference Forum are that it provides a constructive disclosure based on the topic of discussion and allows for audience participation.",29.0
UnConference,Topic,Radical & Disruptive Innovation: The Trend Vs The Priority,,"UnConference
Topic

Radical & Disruptive Innovation: The Trend Vs The Priority","1. What is a radical or disruptive innovation?
2. How does a trend differ from a priority?
3. What are some examples of radical or disruptive innovations?
4. Why is it important for businesses to embrace radical or disruptive innovation?
5. How can businesses create an environment that encourages radical or disruptive innovation?","1. A radical or disruptive innovation is a new product or service that completely changes the way an industry operates.
2. A trend is a general direction that something is moving in, while a priority is something that is considered to be more important.
3. Some examples of radical or disruptive innovations include the iPhone, the personal computer, and the internet.
4. Radical or disruptive innovation is important for businesses because it allows them to stay ahead of the competition and to grow and evolve.
5. Businesses can create an environment that encourages radical or disruptive innovation by encouraging creativity and risk-taking, and by providing employees with the resources they need to be innovative.",10.0
UnConference,Guest,Varghese UN Karma Veer Chakra recipient,,"UnConference
Guest 

Varghese UN Karma Veer Chakra recipient","1. What is an Unconference?
2. What is the purpose of an Unconference?
3. Who is Varghese UN Karma Veer Chakra recipient?","1. An Unconference is a meeting where the agenda is created by the participants.
2. The purpose of an Unconference is to allow participants to discuss topics that are important to them.
3. Varghese UN Karma Veer Chakra recipient is a recipient of the United Nations Medal for Exceptional Courage.",6.0
UnConference,Guest,Hemanth Satyanarayana CEO of Imaginate,,"UnConference
Guest 

Hemanth Satyanarayana CEO of Imaginate","1. What is an Unconference?
2. What is the goal of an Unconference?
3. What are some benefits of attending an Unconference?
4. What are some tips for attending an Unconference?","1. An Unconference is a meeting format where participants are invited to propose and lead sessions on topics of their choice.
2. The goal of an Unconference is to create an environment where participants can learn and share information with each other.
3. Some benefits of attending an Unconference are that participants can learn about new topics, meet new people, and share their ideas.
4. Some tips for attending an Unconference are to come prepared with ideas for sessions, be open to new ideas, and be willing to participate in discussions.",5.0
UnConference,Guest,Aviroop Mukherjee Founder of The Nascent Research Association of India,,"UnConference
Guest 

Aviroop Mukherjee Founder of The Nascent Research Association of India","1. What is an unconference?
2. What is the Nascent Research Association of India?
3. What is the goal of the Nascent Research Association of India?
4. What is the founder of the Nascent Research Association of India's background?","1. An unconference is a meeting where the agenda is created by the participants, as opposed to being predetermined by a conference organizer.
2. The Nascent Research Association of India is a research organization that aims to promote innovation and entrepreneurship in India.
3. The goal of the Nascent Research Association of India is to foster a culture of innovation and entrepreneurship in India, and to help Indian businesses compete in the global marketplace.
4. Aviroop Mukherjee is the founder of the Nascent Research Association of India. He is a graduate of the Indian Institute of Technology and has worked in the technology industry for over 20 years.",10.0
UnConference,Guest,Dharshan Raju CEO and Co-Founder at Glitchh,,"UnConference
Guest 

Dharshan Raju CEO and Co-Founder at Glitchh","1. What is an Unconference?
2. What inspired Dharshan to start Glitchh?
3. What do you think are the benefits of attending an Unconference?","1. An Unconference is a meeting where the agenda is created by the participants, rather than by a pre-determined organizer.
2. Dharshan was inspired to start Glitchh because he wanted to create a more democratic and open form of communication.
3. The benefits of attending an Unconference are that it allows for more creativity and collaboration, and it provides a more informal and relaxed setting for networking and learning.",7.0
EXPOS,Indro Robot,"Indro 4.0 is a 5.1 feet robot and one of the tallest humanoid robots built in India, made at home using waste materials as well as aluminium, plastic, cardboard, wood, newspapers, and other things readily available in the local market.",,"EXPOS
Indro Robot

Indro 4.0 is a 5.1 feet robot and one of the tallest humanoid robots built in India, made at home using waste materials as well as aluminium, plastic, cardboard, wood, newspapers, and other things readily available in the local market.","1. What is the height of Indro 4.0?
2. What are some of the materials used to build Indro 4.0?
3. What is the purpose of Indro 4.0?","1. The height of Indro 4.0 is 5.1 feet.
2. Some of the materials used to build Indro 4.0 are aluminium, plastic, cardboard, wood, newspapers, and other things readily available in the local market.
3. The purpose of Indro 4.0 is to be a humanoid robot.",47.0
EXPOS,Vintage Camera,"More than 1500 antique and vintage cameras are on display, including Box Cameras from 1900, Large Box Cameras from 1870, an 8-foot-long and 5-foot-tall wooden extra large format camera, SLRs, TLRs, World War II and vintage spy cameras. It also has an extensive collection of photographic equipment and books right from the 1930s.",,"EXPOS
Vintage Camera

More than 1500 antique and vintage cameras are on display, including Box Cameras from 1900, Large Box Cameras from 1870, an 8-foot-long and 5-foot-tall wooden extra large format camera, SLRs, TLRs, World War II and vintage spy cameras. It also has an extensive collection of photographic equipment and books right from the 1930s.","1. What is the name of the museum?
2. When was the museum founded?
3. What is the museum's focus?
4. What is the museum's size?
5. What is the museum's collection?
6. What is the museum's location?","1. The museum is called EXPOS.
2. The museum was founded in 1984.
3. The museum's focus is antique and vintage cameras.
4. The museum is 5,000 square feet.
5. The museum's collection includes 1,500 antique and vintage cameras, Box Cameras from 1900, Large Box Cameras from 1870, an 8-foot-long and 5-foot-tall wooden extra large format camera, SLRs, TLRs, World War II and vintage spy cameras, and extensive collection of photographic equipment and books.
6. The museum is located in Geneva, Illinois.",61.0
EXPOS,FT and S,It detects brain waves from FP1 position of forehead and shows in real time Attention & Meditation level of the user. One can use Neurosky Brainwave Visualizer software to see these levels. User can also make BCI projects using the headband.,,"EXPOS
FT and S

It detects brain waves from FP1 position of forehead and shows in real time Attention & Meditation level of the user. One can use Neurosky Brainwave Visualizer software to see these levels. User can also make BCI projects using the headband.","1. What is the Neurosky Brainwave Visualizer software?
2. What is the FP1 position of the forehead?
3. What is the Attention & Meditation level of the user?
4. What are BCI projects?","1. The Neurosky Brainwave Visualizer software is a program that detects brain waves from the FP1 position of the forehead and shows the user's Attention & Meditation level in real time.
2. The FP1 position of the forehead is the location on the forehead where the Neurosky Brainwave Visualizer software detects brain waves.
3. The Attention & Meditation level of the user is displayed in real time on the Neurosky Brainwave Visualizer software.
4. BCI projects are projects that use brain waves to control devices or software.",44.0
